,CL=F,BZ=F,NG=F,RB=F,HO=F,QA=F,QU=F,QG=F,QH=F,GC=F,SI=F,HG=F,PL=F,PA=F,ALI=F,ZS=F,ZM=F,ZL=F,ZW=F,ZC=F,ZO=F,ZR=F,KE=F,CC=F,CJ=F,SB=F,YO=F,KC=F,OJ=F,LE=F,GF=F,HE=F,DC=F,HY=F
AEM,0.1436980633090585,0.13272579749486277,0.013644475246329465,0.11298260545542917,0.08888080463900053,-0.2730678887284307,0.0915412828155305,0.011705871215843057,0.3014136083059163,0.6676321199823994,0.5943917714425452,0.3144477236023344,0.42848884598349724,0.3126014757202238,0.19168392150837352,0.07278675827777449,0.03171791078171449,0.10370364627479457,0.06422666087277791,0.04352007510662809,0.052022373198528676,0.03813879296529279,0.07436847197405622,0.030683653112913916,0.01857107495271714,0.0737428930719241,0.07474721721222358,0.09178549798763845,0.034056141612199164,0.04617896861077759,0.00887097082263879,-0.003760203476659543,-0.00039694375212289594,-0.006285092619145922
FNV,0.17612211218366075,0.16365795850934758,0.014597428730738023,0.15386108998909737,0.12552026110365064,-0.2642224664575224,0.12949272081035262,0.020012360081880325,0.25559175234501447,0.5586190494702764,0.4999231116765596,0.28602089884687587,0.3801631827942516,0.2941630698662276,0.18537774226384998,0.06506912195534768,0.011399753043938646,0.11564654319344657,0.06170533645038319,0.012887778808652085,0.040255193363836865,0.07434795380857388,0.08643407319322763,0.03534803852221432,0.02635379557323021,0.08337281875101693,0.08426574386896005,0.07794750035359176,0.028314086824271542,0.03303624773824127,0.03493110511452975,0.001003590700260837,-0.0048972360960752165,0.06417572923599836
WPM,0.14529497758541443,0.1336566505918655,-0.0067916468885394895,0.13150300113385108,0.10761975907582158,-0.2968953325555249,0.10937745490506785,-0.013755584675534782,0.31495104538476704,0.6539487268150695,0.6343076234411305,0.3348511057025693,0.4504240666027705,0.3401268804209925,0.20367689858027915,0.09344184420569081,0.03854688791051618,0.12307345114344466,0.05287840503918771,0.028773440008605145,0.04926329033565185,0.05780410501907092,0.07570171217604957,0.03522152627282641,0.020921043759941426,0.07312053395841495,0.07410499996552596,0.08384621088623247,0.04557677913319881,0.05885661152434302,0.039711395568234886,0.01166273675289869,-0.018949655550515313,0.031349062237093835
PAAS,0.18898956482012008,0.18062448183991,0.021301865347420183,0.1691910996084695,0.14847949661398682,-0.3202962133196039,0.14492478104861212,0.01410051557100931,0.3198271447430643,0.63123292683601,0.6699636165292139,0.34134468892203984,0.48098244239544136,0.3622898062096875,0.2448568997856316,0.07188518557658354,0.032534637533155865,0.11413459187110984,0.07988887856442185,0.05097115653417521,0.05703931752784495,0.05287393761550745,0.09495369548498069,0.04702791490420944,0.038068349663077025,0.08809916837931547,0.08908015073164234,0.10105750665715874,0.04442536323421995,0.06865023661669072,0.02895743903081748,0.028576543284969697,-0.019720221344625432,0.06612120678278231
AG,0.16406559897953807,0.15299443209772598,0.016793217132497696,0.1420277525634667,0.1328000607030783,-0.2949841120448996,0.12214721304474015,0.02754346057477968,0.30869285863877044,0.5679462987777046,0.6430332274173606,0.33796535084703483,0.479375103002903,0.36593147052445635,0.21598473709306654,0.10336168530012084,0.039145830350970405,0.13263199621026364,0.08609901716773803,0.0635362581594802,0.06090595472782389,0.053364560589790264,0.08965564717423816,0.06476132225324426,0.05872912807158987,0.10869905616057711,0.10917149876318491,0.09398655158168757,0.06619797422945746,0.0728354243579344,0.05577425035399174,0.02461879240858926,-0.02418148935391914,0.10478074309758494
HL,0.20915383382671082,0.20522350570585685,0.02251642757735115,0.19086019117598765,0.1715956128643949,-0.31235323151218974,0.1741214653974572,0.026851021459608687,0.3145440008959678,0.5773770643276719,0.6496553461478438,0.36956518535476496,0.48402287679470335,0.3708870939813924,0.2393320371269187,0.09883983078712077,0.02452639189045969,0.15567018221290335,0.08323979764025809,0.06170520456851185,0.05211438914092352,0.06872827768871023,0.0869991404503028,0.06126884332711354,0.05767927887123948,0.1052407752944428,0.10547358628069266,0.1235051223766128,0.06828728142427788,0.07586437567882627,0.04133198585469805,-0.014632572208243913,-0.00978186686814062,0.10108204910760202
FCX,0.30367760778863373,0.3056040576653583,0.08649523691792783,0.2795619577980706,0.26449392348328543,-0.4264971063114641,0.2745602305553041,0.09229172414983186,0.3293888707801555,0.25677543570174544,0.40250340650445465,0.6440337836465511,0.41111666571224037,0.33860971019502356,0.3833993659125572,0.18745582153606524,0.045120418701373274,0.21101486652750848,0.09083046808632436,0.11421617678361365,0.06092099791013309,0.07476197867347831,0.11356029581764356,0.0984046491480645,0.09868466983013759,0.13388501525935817,0.13346292959204756,0.133323617757039,0.05463447560095382,0.11639975239530607,0.11846419635815063,0.042751952353754924,-0.008982916347475164,0.29087908150050057
SCCO,0.27483529411023744,0.2744124192953172,0.08737349553639327,0.26909691031911415,0.2379420931757759,-0.38302176984869757,0.2645506407917182,0.0887169064803532,0.3244001741801793,0.28496782918676955,0.40507066084876686,0.623304916505872,0.40549729170512316,0.3550673759700305,0.3953120466258829,0.17261583128453775,0.044545153101748336,0.19199684426269986,0.07192066403223499,0.10504286594239576,0.05545749140445635,0.07757047202586156,0.08167204306466767,0.10519615712840599,0.1059422817982088,0.1285029683102543,0.12895575520045965,0.12341565395098726,0.07442796346287518,0.11087182985547896,0.08282596729842212,0.030740567218510963,-0.0014107392709233055,0.23617120141276807
AA,0.29696919949853373,0.30593114290016016,0.12484171405323288,0.2617162155210864,0.2723095984080198,-0.3772755920822691,0.2641129422111601,0.12483738428834963,0.2621389369561292,0.17791837916602474,0.3047023310702628,0.4580049084151965,0.3434998757905434,0.30145322091208926,0.44719327791904595,0.15766077091960182,0.02966411707360458,0.19897899477390793,0.07641089680583293,0.08747321209228218,0.05990066196273925,0.0745624417572878,0.09088428261915293,0.11216676435724617,0.12153924797083517,0.10791145892400901,0.10812325932934627,0.09522215767536095,0.030816001795185524,0.10679728815031736,0.10538138649716931,0.07074570373310951,-0.003922455083030671,0.25302164068497757
RIO,0.25552144176175523,0.2515098995403463,0.10550211101029872,0.25081127879566995,0.22872493788471535,-0.3875561269591297,0.2425893183703412,0.0881602840398626,0.3261907622919964,0.24382384670273807,0.37360914797579553,0.526227249411431,0.39426037111570666,0.3411947392991263,0.3871103685280193,0.19781128650211066,0.0592493515763473,0.21968832218146891,0.08996977697324467,0.13794436768162827,0.07733818152254675,0.07733414975418282,0.11017739746375525,0.1138011344015255,0.11838439575948488,0.09697640321143856,0.0976799751870376,0.12721283436964034,0.027639090537849843,0.11319431605556239,0.1029545955227274,0.04630858449068839,0.01107134711744875,0.21351853353829323
BHP,0.2760817286954125,0.27336629971231546,0.08861673463746841,0.26368712704687003,0.23561409809590336,-0.4464917856326332,0.2514439577012891,0.08169899683741305,0.3784671966826531,0.25113923149947637,0.3731915187288722,0.535728983079347,0.4030345174512758,0.3453658189309822,0.36426724008513267,0.20224095303533066,0.0719526516403629,0.22078475406926948,0.10512922311126784,0.11793271177086745,0.081871262749575,0.06773795571732548,0.11171791689150168,0.10650326533084235,0.11122129146563357,0.11902549109356754,0.11929045549371325,0.12248717201295709,0.0193773025899387,0.11388799724384496,0.10565999234047253,0.052662510949670935,0.009357421651041038,0.22546974617718957
VALE,0.2426873281950076,0.24540012927170565,0.05061954324658397,0.2489740030272639,0.23512700132126202,-0.35775014784691545,0.2533999676425783,0.0644237769355266,0.2897069909826073,0.2005219226424164,0.307980400964903,0.4533304502920873,0.3348128984729493,0.27523898470580394,0.3195992293401026,0.21873093549157382,0.0905687254600062,0.20797631053431825,0.1116673010560589,0.1388820581416632,0.08223405052313738,0.05851724043756929,0.11878008953928719,0.11036275199654656,0.10435812035253691,0.11983688863790619,0.12103259660034285,0.16550960826647418,0.03389841817683406,0.10212204824829473,0.06338452349133686,0.02172084803631018,0.04060172377203091,0.19787972054284428
GLNCY,0.30827805640213357,0.3127234703315768,0.10244164316594588,0.2868544830831906,0.2850994440051609,-0.384063602331465,0.27068678703851234,0.08415025524105763,0.3245856175458705,0.23012975557127338,0.3708588620255102,0.5604937163167781,0.4070502957597273,0.32671386323114165,0.38532783305277213,0.18847890000582398,0.05722903950925673,0.20992464957935275,0.07890184560269371,0.1352630686125023,0.06480136060492418,0.057668242608217665,0.0962238604615377,0.14300530542113174,0.1518949147841958,0.13312290129906518,0.13376318948283386,0.13627672418119358,0.04486791805615367,0.11179744312532071,0.08695864893684412,0.06410189449257846,0.009040922423269575,0.2622309438161393
LAC,0.02923645412364676,0.04633439793070604,-0.013195286238557612,0.039850176262687574,0.02799866139250678,-0.22659441591589038,0.06628119297531287,0.010722716880694386,0.20868763967913434,0.054583986708149526,0.1680800254918623,0.19551439060479253,0.22164223147025555,0.19056102067115435,0.15281064695739052,-0.012336485413171259,-0.07681366150453646,0.06011631766687972,-0.07738662809625886,0.0010594518042784567,0.014377190520523905,-0.007083447893511141,-0.05948916570864448,-0.06210232050251068,-0.06669371981806077,-0.05117011825903816,-0.05116999278066386,-0.02296675871662916,-0.01057784602342615,0.06935013363123305,0.05861460812262669,0.01402735519867153,0.011110628603072705,0.04437004221504156
MP,0.1438493158281116,0.15415600984887898,0.07205591869913058,0.13765119075785273,0.11691443911998849,-0.2531574157780661,0.13301064399926268,0.0629777514651135,0.19302525406396162,0.13737909042096327,0.22462176178344054,0.25347134738336685,0.24575630365823137,0.20220396212480224,0.14091739021621155,0.08581426487513956,0.05127514233067352,0.08036517641405978,0.025838320869433017,0.0267972717538264,0.029952115277857738,0.00967733010552076,0.05695397139142808,0.03318622160924791,0.03795068262251679,0.02104695376953816,0.021019030469573225,0.058586587578853384,0.04432410046764331,0.04459049017998586,0.045221060750119196,0.0333476525237494,-0.041669615182295054,0.16213896748424095
SBSW,0.21047897072915922,0.20408739472007215,0.04680964060824168,0.18985617007045508,0.1719635940935408,-0.3634555515935002,0.1795555137719539,0.03851031217745221,0.3351254174061161,0.4662760594944681,0.5167444165262983,0.40237103574271676,0.49268859020165573,0.49298566535483684,0.27633156038774137,0.13625944507750762,0.05137558557401163,0.16077179647005296,0.09899925009210774,0.11427973570065529,0.07783333725823441,0.04939510104366515,0.10585244763181967,0.062326708008153514,0.06994190952999445,0.11041989952723166,0.10995336869309125,0.11961254746878462,0.0884485243164867,0.07713213269423526,0.048986775215069875,0.049638814848401,-0.011097808553260103,0.12689645076012995
TECK,0.3221770611464842,0.32696732501033804,0.06952824597015342,0.2953489500326141,0.2633665823858006,-0.3745127018030401,0.28279331341723835,0.06905683961624712,0.25529435849575166,0.23109830448767318,0.33954083848070893,0.5620199445155606,0.39119821712798797,0.3174895952725632,0.35180503115840933,0.17325764643692348,0.042266205543934156,0.20084842085807142,0.10927810221374955,0.12524901659931592,0.0511192368863502,0.04151365048428737,0.12531585534905537,0.14220035745454046,0.14704037498722072,0.15850124163105953,0.15896735581714794,0.12167788255120418,0.054390382411529964,0.10806441492321742,0.09759207908416137,0.06095374931398163,-0.0007430516539259255,0.2759018434205615
CLF,0.20115540829286008,0.20560504030590737,0.08562028358241398,0.16061830319678094,0.16502592760979368,-0.3369182636908731,0.1694769181225451,0.09741849418391804,0.1987593803030195,0.12438269964915981,0.22340369812948346,0.32772273328514684,0.24184229786246242,0.2163101442348907,0.23098264175145158,0.1108841138785821,0.06625215842439532,0.1374011122458066,0.07864719511268901,0.06928375386310322,0.07763545902727055,0.05712195966638463,0.09015960542406068,0.07465706777402174,0.0799682358611166,0.07504746193901299,0.07520610129315601,0.05513429074187096,0.047312971670376056,0.1000492761196086,0.08612565525995418,0.06071980378131611,-0.005982397815118577,0.24548862656475412
X,0.17876800189211126,0.18918882667680603,0.10353952234176013,0.16325906251146757,0.17311427094263063,-0.2482350418804675,0.15851299170245212,0.1254851790246943,0.14691707513729937,0.06064316029813395,0.13661641936001465,0.23224609467970483,0.16422453082398725,0.16106160119049193,0.1627924018260517,0.11891095639355027,0.06674399428943802,0.1551812705631293,0.07662232154634374,0.0633260307153549,0.06555525508609981,0.0424351507763339,0.06655962831192577,0.08011201331306297,0.10351306087283696,0.04698842659751247,0.04695741017015068,0.043902783823039096,0.03818297346095997,0.07363178496991737,0.06450742988739466,0.07792470078977018,0.006503898224391067,0.24158718317295932
NUE,0.18576167564846927,0.19485882942173888,0.06420329548508316,0.17987748333689021,0.17314622329881896,-0.3066589818162051,0.17839203063128167,0.07809976224238864,0.16858322642942727,0.06678568050876671,0.15681264075416335,0.2917670714002516,0.19367321269925625,0.19538533656996468,0.18150711700218844,0.12965612141715308,0.07579219963755553,0.1486513688299912,0.03965522268920777,0.04627011359061949,0.06160715494554403,0.03630980473548436,0.03904674633305953,0.08149810651372534,0.08624361490747935,0.07472581108137434,0.07434601466306766,0.050367604940191664,0.04192296332845801,0.09004168839794477,0.09876852661530572,0.05768394464196493,-0.00910594842802722,0.24315030964910897
ADM,0.23004251899260525,0.24314950170901314,0.11715744627128298,0.23520100682926595,0.22179019782584136,-0.22754432877083666,0.2311886384577075,0.10538326853447451,0.09200829522197451,0.04714387636293343,0.12078478331967094,0.2028641572649628,0.18788310315358195,0.19361371963844975,0.15165326502251855,0.14776110757548802,0.05163894796004911,0.1907201136060899,0.09933607063106271,0.09740440971068876,0.04809195228135126,0.07413419359162622,0.10509256842149498,0.08750955293222204,0.07327616933288522,0.09966333932256012,0.099139789368919,0.019972593095603834,0.052826541513244576,0.06516529770216685,0.0766234193118897,0.054952581607486964,0.0015011156223502633,0.2250124670472566
BG,0.21476700552486358,0.22036286467527313,0.1408131870397668,0.20662330407946336,0.19052266092132264,-0.23879948819364422,0.21182442339534516,0.14930841918518156,0.09195788845981875,0.05683145436328363,0.13165179283675407,0.18676708868768563,0.18517270462438695,0.1707584223298629,0.1317673475028991,0.1578480145057575,0.07072804643913803,0.1978198611534033,0.12839748864189837,0.1189607118880626,0.05807355515348044,0.07621019511819196,0.1156067655542577,0.07258437594184183,0.06808821270654908,0.13918745398603505,0.1382423168208429,0.027877711732630334,0.04813859022857911,0.035269472442606954,0.07535821040933,0.040850014688895264,0.015711699687477012,0.20024588876250865
DE,0.1783499671528566,0.1897256391144255,0.10047312183532345,0.17170493151603744,0.15664026813604442,-0.28130348650982007,0.1813170396985266,0.07857706621441664,0.1744261110345342,0.09027077543034821,0.15482127390609934,0.2656537277539553,0.22506191162260034,0.22032230669669617,0.17772038445234145,0.12517495192728298,0.042315323609694325,0.12776548103919944,0.10567023574931972,0.11239193711898872,0.10133023827067948,0.06636458559466621,0.11283348864138538,0.09358381531373693,0.09508906091034071,0.08436573243772698,0.08343782788377621,0.048742542959178015,0.030881343857257534,0.08550257410623587,0.06565196590837452,-0.007174432477486666,-0.027345655847318115,0.2293887229658948
NTR,0.2913629613053112,0.2921728474800889,0.12259124812109455,0.2708838126752262,0.26016167376231175,-0.33504247311655877,0.27108996064480667,0.1162412655479244,0.18363490287334086,0.13211104594272027,0.21590240055542312,0.3367882288615084,0.2890037364732401,0.2300737480022952,0.2023070164418289,0.1787376871188686,0.0714648139337035,0.16515657778614823,0.11829621412853149,0.12894830900800203,0.07288622954488269,0.10567721323649353,0.12825147982111446,0.12261139992951263,0.1043374921945518,0.14062398564238643,0.13888424261908983,0.11152193376077679,0.059064946096227804,0.09881448043520441,0.05788192831423219,0.07433875169399748,-0.011585506320509406,0.24844748744080483
TSN,0.07154210850593626,0.07754779434790865,-0.003957285542458734,0.08786878493831425,0.0856220180545398,-0.15735002409632498,0.08977315805918971,-0.007381928846907707,0.07819083833472026,0.00994544516223788,0.04433321949448499,0.06367339307464448,0.09566439138321636,0.03823954096483696,0.0523599886943261,0.054946349516150426,0.006734388481048545,0.07254585167866924,0.013454745935246905,-0.02714272353776025,-0.003467373087431173,0.028133199740600988,0.00851790112022776,0.02113979269488653,0.029525516834414775,0.00113652408167744,0.0006150619097154118,0.03791794864316228,0.023465835601071915,0.02378541921175826,0.07296249230315549,0.0198454437744581,0.02208249451740508,0.09593709183663734
SJM,-0.010387616229841039,-0.019989645214147023,0.0057267416327956315,-0.002194237206328476,0.001593034512125775,-0.03452849205902873,-0.008780996860723363,-0.010634546204000214,0.009444270013961873,0.03367154180181585,-0.006560470429143391,-0.038552314640983694,0.014920971517154503,-0.03298402039640923,0.00021679312919944087,-0.004387565530814812,4.6137490562794856e-05,0.020282003247178836,0.04077163235327495,0.004740404035325521,0.015566856917797443,0.0008492217774621004,0.028949900259377062,-0.007554522419138531,-0.01837756111524595,-0.0062029455318574666,-0.007035508609742837,0.011968144887928123,-0.009822418162414328,-0.015173619488199038,0.01614544489537822,-0.04286246982129806,0.04396971684213613,-0.0018819354228143588
